Language name,Glottocode,ISO code,Latitude,Longitude,Numeral system,Numeral subsystem,Notes,Formation of 5,Formation of 10,Formation of 15,Formation of 20,Formation of 40,Evidence of binary counting?,Evidence of ternary counting?,Evidence of quaternary counting?,Evidence of quinary counting?,Evidence of senary counting?,Evidence of decimal counting?,Evidence of vigesimal counting?,Evidence of a body-part tallying system?,Documentation of a hand word used somewhere? (Papuan languages only),Family,"Ancient, creolized, simplified, standardized, or diasporic variety of another language?",Family-majority system,Family type,On the New Guinea mainland?,Nation,Subregion,Datasets,Number of sources,Dialects included
Boano (Sulawesi),boan1243,bzl,0.51152,120.992,decimal,decimal proper,11 to 19 = 10 + n,5,1 ⋅ 10,1 ⋅ 10 + 5,2 ⋅ 10,4 ⋅ 10,no,no,no,no,no,yes,no,_,_,Western Malayo-Polynesian,_,decimal,Austronesian,no,Indonesia,Central Sulawesi,"barlowpacific, numerals",2,_
Bobongko,bobo1255,bgb,-0.36759,121.922,decimal,decimal proper,11 to 19 = 10 + n,5,1 ⋅ 10,1 ⋅ 10 + 5,2 ⋅ 10,4 ⋅ 10,no,no,no,no,no,yes,no,_,_,Western Malayo-Polynesian,_,decimal,Austronesian,no,Indonesia,Central Sulawesi,numerals,1,_
Bobot,bobo1254,bty,-3.43514,130.179,decimal,decimal proper,1 through 10 < PAN; numerals above 10 unknown,5,10 (innovative?),unknown,unknown,unknown,no,no,no,no,no,yes,insufficient data,_,_,Central Malayo-Polynesian,_,decimal,Austronesian,no,Indonesia,Maluku,"abvd (2x), lexirumah, numerals",4,_
Bogaya,boga1247,boq,-5.54487,142.255,unknown,unknown,"4, 5, 10 all = many?",many,many,unknown,unknown,unknown,insufficient data,no,no,insufficient data,no,insufficient data,insufficient data,_,_,Bogaya,_,_,Papuan,yes,Papua New Guinea,Southern Highlands,barlowpacific,1,_
Boikin,boik1241,bzf,-3.68297,143.474,quinary,quinary,binary element in some dialects? (4 = x + x); 5 contains hand; 6 to 9 = 5 + n; Island dialect may be quaternary,1 hand or hand 1,hand 2 or hand 1 ⋅ 2 or hand hand,hand hand hand,man 1,man 2,maybe,no,maybe,yes,no,no,yes,_,yes,Ndu,_,quinary,Papuan,yes,Papua New Guinea,East Sepik,"barlowpacific (9x), numerals",10,_
Bola,bola1250,bnp,-5.55792,150.095,quinary,quinary,6 to 9 = x + n,5,1 ⋅ 10 or 1 ⋅ 10 ⋅ 1,1 ⋅ 10 + 5 or 1 ⋅ 10 ⋅ 1 + 5,1 ⋅ 10 ⋅ 2,1 ⋅ 10 ⋅ 4,no,no,no,yes,no,yes,no,_,_,Oceanic,_,quinary,Austronesian,no,Papua New Guinea,West New Britain,"abvd, barlowpacific (2x), numerals",4,_
Bolango,bola1252,bld,0.39044,123.888,decimal,decimal proper,11 = 10 + 1; 12 = 10 + 2,5,10,unknown,2 ⋅ 10,4 ⋅ 10,no,no,no,no,no,yes,no,_,_,Western Malayo-Polynesian,_,decimal,Austronesian,no,Indonesia,North Sulawesi,"barlowpacific, numerals",2,_
Bolinao,boli1256,smk,16.3071,119.853,decimal,decimal proper,11 to 19 = x + n,5,10,x + 5,2 ⋅ 10,4 ⋅ 10,no,no,no,no,no,yes,no,_,_,Western Malayo-Polynesian,_,decimal,Austronesian,no,Philippines,Ilocos,"abvd, numerals",2,_
Bolongan,bolo1268,blj,2.75927,117.293,decimal,decimal proper,11 = 1 + x; 12 = 10 + 2,5,1 ⋅ 10,unknown,2 ⋅ 10,unknown,no,no,no,no,no,yes,insufficient data,_,_,Western Malayo-Polynesian,_,decimal,Austronesian,no,Indonesia,North Kalimantan,barlowpacific (2x),2,_
Bonerate,bone1254,bna,-7.37657,121.792,decimal,decimal modified,"subtraction for 8, 9; 10, 100, 1000 distinct",5,1 ⋅ 10,unknown,2 ⋅ 10,unknown,no,no,no,no,no,yes,insufficient data,_,_,Western Malayo-Polynesian,_,decimal,Austronesian,no,Indonesia,South Sulawesi,"abvd, barlowpacific, lexirumah (2x)",4,_
Bonerif,bone1255,bnv,-2.09529,139.208,binary,binary proper,"3 = 2 + 1, 4 = 2 + 2",unknown,unknown,unknown,unknown,unknown,yes,no,no,insufficient data,insufficient data,insufficient data,insufficient data,_,_,Tor-Orya,_,binary,Papuan,yes,Indonesia,Papua Province,barlowpacific,1,_
Bonggi,bong1289,bdg,7.29249,117.174,decimal,decimal proper,11 to 19 = 10 + n,5,10,10 + 5,2 ⋅ 10,4 ⋅ 10,no,no,no,no,no,yes,no,_,_,Western Malayo-Polynesian,_,decimal,Austronesian,no,Malaysia,Sabah,"abvd, barlowpacific, numerals",3,_
Bonggo,bong1287,bpg,-2.28044,139.576,quinary,quinary,6 to 9 = 5 + n ,5 or hand x (?),hand x y (?),hand x y z 5,person 1,person 2,no,no,no,yes,no,no,yes,_,_,Oceanic,_,quinary,Austronesian,yes,Indonesia,Papua Province,"barlowpacific, numerals",2,_
Bongu,bong1291,bpu,-5.50519,145.806,quinary,quinary,5 contains hand; 6 to 9 = x + n,hand 1,hand 2,unknown,leg 2 or hand 2 leg 2,unknown,no,no,no,yes,no,no,insufficient data,_,yes,Madang,_,binary,Papuan,yes,Papua New Guinea,Madang,barlowpacific (5x),5,_
Bonkiman,bonk1244,bop,-5.84007,146.738,binary,binary+3,5 = 2 + 2 + x; 6 contains hand?,2 + 2 + x,unknown,unknown,unknown,unknown,yes,no,no,yes,insufficient data,insufficient data,insufficient data,_,yes,Finisterre-Huon,_,binary,Papuan,yes,Papua New Guinea,Madang,barlowpacific,1,_
Bookan,book1241,bnb,5.32519,116.474,decimal,decimal proper,1 through 10 < PAN (although 7 from ‘point’?; 8 modified?); numerals above 10 unknown,5,10 (innovative?),unknown,unknown,unknown,no,no,no,no,no,yes,insufficient data,_,_,Western Malayo-Polynesian,_,decimal,Austronesian,no,Malaysia,Sabah,numerals,1,_
Borei,bore1247,gai,-4.08697,144.715,binary,binary+4,3 = 2 + 1; 4 < Austronesian?; 5 contains hand?,hand side (?) ; hand right (?),hand [dual],foot 1,foot 2 or man 1,man 2,yes,no,no,yes,no,no,yes,_,yes,Ramu,_,binary,Papuan,yes,Papua New Guinea,Madang,barlowpacific (3x),3,_
Borong,boro1279,ksr,-6.56688,147.511,quinary,quinary,5 = hand one; 4 derives from ‘thumb without’ (subtractive from 5); or ternary element (4 = 3 + 1) in some dialects; also binary 4 (= 2 + 2) attested; 6 to 9 = 5 + n,hand 1,hand 2,hand 2 foot 1,man 1 or foot 2 whole,unknown,maybe,maybe,no,yes,no,no,yes,_,yes,Finisterre-Huon,_,binary,Papuan,yes,Papua New Guinea,Morobe,"barlowpacific (2x), numerals",3,_
Boselewa,bose1237,bwf,-9.44763,150.693,quinary,quinary,6 = x + 5; 7 to 9 = 5 + n,5 ⋅ 1,5 x (?),unknown,unknown,unknown,no,no,no,yes,no,no,insufficient data,_,_,Oceanic,_,quinary,Austronesian,no,Papua New Guinea,Milne Bay,numerals,1,_
Bosngun,bosn1248,bqs,-4.16201,144.647,binary,binary+4,3 = 2 + 1; 5 contains hand,hand 1,hand 2 or x 2 (?),unknown,foot 2 or hand 2 foot 2,unknown,yes,no,no,maybe,no,insufficient data,insufficient data,_,yes,Ramu,_,binary,Papuan,yes,Papua New Guinea,Madang,barlowpacific (4x),4,_
Botolan Sambal,boto1242,sbl,15.2315,120.164,decimal,decimal proper,11 to 19 = x + n,5,10,x + 5,2 ⋅ 10,4 ⋅ 10,no,no,no,no,no,yes,no,_,_,Western Malayo-Polynesian,_,decimal,Austronesian,no,Philippines,Central Luzon,"abvd (2x), numerals",3,_
Bouni-Bobe,boun1246,suo,-3.067293,141.932259,binary,binary proper,"3 = 2 + 1, 4 = 2 + 2; 5 contains hand; quinary starting at 5",hand 1 (?),hand 2 (?),unknown,unknown,unknown,yes,no,no,yes,no,insufficient data,insufficient data,_,yes,Sko,_,binary,Papuan,yes,Papua New Guinea,Sandaun,barlowpacific,1,_
Bragat,brag1240,aof,-3.48707,142.495,unknown,unknown,no data,unknown,unknown,unknown,unknown,unknown,insufficient data,insufficient data,insufficient data,insufficient data,insufficient data,insufficient data,insufficient data,_,_,Nuclear Torricelli,_,binary,Papuan,yes,Papua New Guinea,Sandaun,_,0,_
Breri,brer1240,brq,-4.73271,144.707,quinary,quinary,subtraction for 4; 5 contains hand; 6 to 9 = 5 + n,hand 1 or hand 1 together,hand 2 together,hand 2 foot 1 together,hand 2 foot 2 together,unknown,no,no,no,yes,no,no,insufficient data,_,yes,Ramu,_,binary,Papuan,yes,Papua New Guinea,Madang,"barlowpacific (6x), numerals",7,_
Brooke's Point Palawano,broo1239,plw,8.83891,117.871,decimal,decimal proper,11 to 19 = 10 + n,5,10 or 1 ⋅ 10,1 ⋅ 10 + 5,2 ⋅ 10,4 ⋅ 10,no,no,no,no,no,yes,no,_,_,Western Malayo-Polynesian,_,decimal,Austronesian,no,Philippines,Mimaropa,"barlowpacific, numerals",2,_
Brunei,brun1242,kxd,4.456045,114.429505,decimal,decimal modified,"subtraction for 8, 9; 12 = 2 + x; 20 = 2 ⋅ 10",5,1 ⋅ 10,unknown,2 ⋅ 10,unknown,no,no,no,no,no,yes,insufficient data,_,_,Western Malayo-Polynesian,Malay variety?,decimal,Austronesian,no,Brunei,Brunei,"abvd, barlowpacific",2,_
Brunei Bisaya-Dusun,brun1245,bsb,4.60791,114.517,decimal,decimal proper,11 to 19 = 10 + n,5,10,10 + 5,2 ⋅ 10,4 ⋅ 10,no,no,no,no,no,yes,no,_,_,Western Malayo-Polynesian,_,decimal,Austronesian,no,Brunei,Brunei,"barlowpacific, numerals",2,_
Budibud,budi1249,btp,-9.29802,153.689,unknown,unknown,no data between 5 and 10,5,10 (?) (innovative?),unknown,unknown,unknown,no,no,no,insufficient data,no,maybe,insufficient data,_,_,Oceanic,_,quinary,Austronesian,no,Papua New Guinea,Milne Bay,barlowpacific,1,_
Budong-Budong,budo1241,bdx,-2.07756,119.327,decimal,decimal modified,"subtraction for 8, 9 ?; 20 = 2 ⋅ 10",5,1 ⋅ 10,unknown,2 ⋅ 10,unknown,no,no,no,no,no,yes,insufficient data,_,_,Western Malayo-Polynesian,_,decimal,Austronesian,no,Indonesia,West Sulawesi,barlowpacific,1,_
Bugawac,buga1250,buk,-6.67519,147.32,quinary,quinary,5 contains hand; 6 to 9 = 5 + n,5 ⋅ 1 or hand 1,5 ⋅ 2 or hand 2 or 1 ⋅ 10,1 ⋅ 10 + 5,man 1 or man completed,man 2 or man completed 2,no,no,no,yes,no,maybe,yes,_,_,Oceanic,_,quinary,Austronesian,yes,Papua New Guinea,Morobe,"barlowpacific (3x), numerals",4,_
Bughotu,bugh1239,bgt,-8.47948,159.802,decimal,decimal proper,11 to 19 = 10 + n,5,1 ⋅ 10 (innovative?),1 ⋅ 10 + 5,20 (< person?),2 ⋅ 20,no,no,no,no,no,yes,yes,_,_,Oceanic,_,quinary,Austronesian,no,Solomon Islands,Isabel,"abvd (2x), numerals",3,_
Buginese,bugi1244,bug,-4.47,119.977,decimal,decimal modified,"subtraction for 8, 9; 11 to 19 = 10 + n",5,1 ⋅ 10,1 ⋅ 10 + 5,2 ⋅ 10,4 ⋅ 10,no,no,no,no,no,yes,no,_,_,Western Malayo-Polynesian,_,decimal,Austronesian,no,Indonesia,South Sulawesi,"abvd, barlowpacific (4x), googleuninum, numerals (2x)",8,_
Buhid,buhi1245,bku,12.6396,121.21,decimal,decimal proper,11 to 19 = 10 + n,5,1 ⋅ 10,1 ⋅ 10 + 5,2 ⋅ 1 ⋅ 10,4 ⋅ 1 ⋅ 10,no,no,no,no,no,yes,no,_,_,Western Malayo-Polynesian,_,decimal,Austronesian,no,Philippines,Mimaropa,"abvd (2x), numerals",3,_
Buhutu,buhu1237,bxh,-10.5074,150.18,quinary,quinary,6 to 9 = 5 + n,5 (innovative?) (< digits?),1 ⋅ 10,1 ⋅ 10 + 5,man 1 dead,man 2 dead (?),no,no,no,yes,no,maybe,yes,_,_,Oceanic,_,quinary,Austronesian,yes,Papua New Guinea,Milne Bay,"abvd, barlowpacific, numerals",3,_
Bukar-Sadung Bidayuh,buka1257,sdo,0.96817,110.657,decimal,decimal modified,subtraction for 9 ?; 11 to 19 = 10 + n,5,10 (innovative?),10 + 5,2 ⋅ 10 (different form),4 ⋅ 10 (different form),no,no,no,no,no,yes,no,_,_,Western Malayo-Polynesian,_,decimal,Austronesian,no,Malaysia,Sarawak,numerals,1,_
Bukat,buka1261,bvk,1.29075,113.246,decimal,decimal modified,"subtraction for 8, 9 ?; 11 to 19 = 10 + n",5,1 ⋅ 10,1 ⋅ 10 + 5,2 ⋅ 10,4 ⋅ 10,no,no,no,no,no,yes,no,_,_,Western Malayo-Polynesian,_,decimal,Austronesian,no,Indonesia,West Kalimantan,"abvd, numerals",2,_
Bukit Malay,buki1247,bvu,-2.75049,115.64,decimal,decimal proper,11 to 19 = n + x,5,1 ⋅ 10,5 + x,2 ⋅ 10,unknown,no,no,no,no,no,yes,insufficient data,_,_,Western Malayo-Polynesian,_,decimal,Austronesian,no,Indonesia,South Kalimantan,barlowpacific,1,_
Bukitan,buki1248,bkn,2.34947,114.895,decimal,decimal modified,"subtraction for 8, 9 ?; 11 to 19 = n + x",5,1 ⋅ 10,5 + x,2 ⋅ 10,4 ⋅ 10,no,no,no,no,no,yes,no,_,_,Western Malayo-Polynesian,_,decimal,Austronesian,no,Malaysia,Sarawak,"barlowpacific, numerals",2,_
Bukiyip,buki1249,ape,-3.47169,143.111,binary,binary+4,3 = 2 + 1; 4 derived from ‘dog’; 5 contains hand; quinary starting at 5 (or ternary or quaternary elements in higher numerals?),dog + 1 (?) or 1 hand (?),2 hand (?) or 9 + 1 (?),15 (?),18 + 2 (?),unknown,yes,maybe,maybe,yes,no,no,insufficient data,_,yes,Nuclear Torricelli,_,binary,Papuan,yes,Papua New Guinea,East Sepik,"barlowpacific (6x), numerals",7,_
Bulgebi,bulg1265,bmp,-5.69713,146.403,unknown,unknown,no data,unknown,unknown,unknown,unknown,unknown,insufficient data,insufficient data,insufficient data,insufficient data,insufficient data,insufficient data,insufficient data,_,_,Finisterre-Huon,_,binary,Papuan,yes,Papua New Guinea,Madang,_,0,_
Buli (Indonesia),buli1255,bzq,1.0008,128.443,decimal,decimal proper,11 to 19 = 10 + n,5,10 ⋅ 1 (innovative?),10 ⋅ 1 + 5,10 ⋅ 2,10 ⋅ 4,no,no,no,no,no,yes,no,_,_,South Halmahera-West New Guinea,_,decimal,Austronesian,no,Indonesia,North Maluku,"abvd, barlowpacific, numerals",3,_
Bulu (Papua New Guinea),bulu1253,bjl,-5.06134,150.101,decimal,decimal proper,11 to 19 = 10 + n,5,1 ⋅ 10,1 ⋅ 10 + 5,1 ⋅ 10 ⋅ 2,1 ⋅ 10 ⋅ 4,no,no,no,no,no,yes,no,_,_,Oceanic,_,quinary,Austronesian,no,Papua New Guinea,West New Britain,"abvd, barlowpacific, numerals",3,_
Bumbita Arapesh,bumb1241,aon,-3.65508,142.859,binary,binary+3,4 = 2 + 2; ternary element? (5 = 3 + 2); or 5 contains hand or palm; quinary starting at 5,3 + 3 or hand 1 or palm 1,palm 1 palm 1 or hand 1 hand 1 or palm 2 or 4 + 2 + 2 or 4 + 3 + 3,palm 1 palm 1 palm 1 or hand 1 hand 1 hand 1 or palm 3,palm 1 palm 1 palm 1 palm 1 or palm 2 + 2,unknown,yes,maybe,no,yes,no,no,insufficient data,_,yes,Nuclear Torricelli,_,binary,Papuan,yes,Papua New Guinea,East Sepik,"barlowpacific, numerals",2,_
Bun,bunn1240,buv,-4.51885,143.892,quinary,quinary,5 contains hand; 6 to 9 = x + n,hand x,hand 2,unknown,unknown,unknown,no,no,no,yes,no,no,insufficient data,_,yes,Yuat,_,quinary,Papuan,yes,Papua New Guinea,East Sepik,barlowpacific,1,_
Buna,buna1277,bvn,-3.95553,144.119,quinary,quinary,5 = hand; 6 to 9 = 5 + n,hand,hand 2 (?),unknown,man 1,unknown,no,no,no,yes,no,no,maybe,_,yes,Nuclear Torricelli,_,binary,Papuan,yes,Papua New Guinea,East Sepik,barlowpacific (2x),2,_
Bunak,buna1278,bfn,-9.13618,125.216,decimal,decimal proper,"7, 8, 9 < Austronesian; 11 to 19 = 10 + n",5 (?),10 (?),10 + 5,10 ⋅ 2,10 ⋅ 4,no,no,no,no,no,yes,no,_,_,Timor-Alor-Pantar,_,decimal,Papuan,no,East Timor,East Timor,"barlowpacific, lexirumah (3x), numerals",5,_
Bunama,buna1276,bdd,-10.0761,151.066,quinary,quinary,6 to 9 = 5 + n,5 or 5 (innovative?),5 x x,unknown,man die,unknown,no,no,no,yes,no,no,maybe,_,_,Oceanic,_,quinary,Austronesian,no,Papua New Guinea,Milne Bay,"abvd, numerals",2,_
Bungain,bung1270,but,-3.69674,143.796,binary,binary+3,4 = x + x; or 4 = 3 + x (ternary); 5 contains hand; quinary starting at 5,hand 1 or arm x,hand 2,hand 2 hand 1,hand 2 hand 2,unknown,yes,maybe,no,yes,no,no,insufficient data,_,yes,Nuclear Torricelli,_,binary,Papuan,yes,Papua New Guinea,East Sepik,"barlowpacific (2x), numerals",3,_
Bungku,bung1269,bkz,-3.22197,122.212,decimal,decimal proper,11 to 19 = 10 + n,5,1 ⋅ 10,1 ⋅ 10 + 5,2 ⋅ 10,4 ⋅ 10,no,no,no,no,no,yes,no,_,_,Western Malayo-Polynesian,_,decimal,Austronesian,no,Indonesia,Southeast Sulawesi,"abvd (7x), barlowpacific, numerals",9,_
Bunun,bunu1267,bnn,23.4116,121.025,decimal,decimal proper,11 to 19 = 10 + n,5,10 ⋅ 1 (innovative?),10 ⋅ 1 + 5,10 ⋅ 2 (?),10 ⋅ 4 (?),no,no,no,no,no,yes,no,_,_,Formosan,_,decimal,Austronesian,no,Taiwan,Taiwan,"abvd (5x), numerals (4x)",9,_
Buol,buol1237,blf,0.97727,121.519,decimal,decimal proper,11 to 19 = 10 + n,5,10,10 + 5,2 ⋅ 10,4 ⋅ 10,no,no,no,no,no,yes,no,_,_,Western Malayo-Polynesian,_,decimal,Austronesian,no,Indonesia,Central Sulawesi,"abvd, barlowpacific (2x), numerals",4,_
Burate,bura1276,bti,-2.79301,136.038,quinary,quinary,6 to 9 = x + n (a lot of phonological reduction?),palm (?) or palm x (?),10 (?),unknown,unknown,unknown,no,no,no,yes,no,maybe,insufficient data,_,yes,Geelvink Bay,_,quinary,Papuan,yes,Indonesia,Papua Province,numerals,1,_
Burmbar,burm1263,vrt,-16.41653,167.73124,quinary,quinary,6 to 9 = x + n,5,1 ⋅ 10,1 ⋅ 10 + 5 or x + 5,1 ⋅ 10 ⋅ 2,1 ⋅ 10 ⋅ 4,no,no,no,yes,no,yes,no,_,_,Oceanic,_,quinary,Austronesian,no,Vanuatu,Malakula,"abvd (5x), numerals (2x)",7,_
Burmeso,burm1264,bzu,-2.47582,138.203,quinary,quinary,6 to 9 = x + n,5 x (?),5 ⋅ 2,unknown,unknown,unknown,no,no,no,yes,no,no,insufficient data,_,_,Burmeso,_,quinary,Papuan,yes,Indonesia,Papua Province,"barlowpacific, numerals",2,_
Buru (Indonesia),buru1303,mhs,-3.43957,126.632,decimal,decimal modified,"subtraction for 8, 9; 11 to 19 = 10 + n",5,10,10 + 5,10 ⋅ 2,10 ⋅ 4,no,no,no,no,no,yes,no,_,_,Central Malayo-Polynesian,_,decimal,Austronesian,no,Indonesia,Maluku,"abvd, barlowpacific, lexirumah, numerals",4,_
Burui,buru1309,bry,-4.03527,143.015,quinary,quinary,5 = hand one; 6 = 5 + x; 10 = 5 ⋅ 2,hand 1,hand 2,unknown,unknown,unknown,no,no,no,yes,no,no,insufficient data,_,yes,Ndu,_,quinary,Papuan,yes,Papua New Guinea,East Sepik,barlowpacific,1,_
Burum-Mindik,buru1306,bmu,-6.51663,147.333,binary,binary+3,4 = 2 + 2 (or = ‘thumb without’?); 5 contains hand?,hand 1 or hand x,hand 2,hand 2 leg 1,hand 2 leg 2 or man 1,unknown,yes,no,no,yes,no,no,maybe,_,yes,Finisterre-Huon,_,binary,Papuan,yes,Papua New Guinea,Morobe,"barlowpacific (3x), numerals",4,_
Burumakok,buru1307,aip,-5.12217,140.03,unknown,unknown,body tally? (5 = thumb?; 8 = elbow?),unknown,unknown,unknown,unknown,unknown,no,no,no,no,no,insufficient data,insufficient data,yes,_,Asmat-Awyu-Ok,_,binary,Papuan,yes,Indonesia,Papua Province,barlowpacific,1,_
Burusu,buru1304,bqr,3.36912,117.012,decimal,decimal proper,11 = 10 + 1; 20 = 2 ⋅ 10,5,1 ⋅ 10 or 10,unknown,2 ⋅ 10,4 ⋅ 10,no,no,no,no,no,yes,no,_,_,Western Malayo-Polynesian,_,decimal,Austronesian,no,Indonesia,North Kalimantan,"barlowpacific, numerals",2,_
Buruwai,buru1308,asi,-3.54561,133.327,binary,binary+4,3 = 2 + x; distinct 4,5 (?),unknown,unknown,unknown,unknown,yes,no,no,yes,insufficient data,insufficient data,insufficient data,_,_,Asmat-Awyu-Ok,_,binary,Papuan,yes,Indonesia,West Papua Province,numerals,1,_
Busami,busa1254,bsm,-1.73681,136.032,quinary,quinary,simplex 6; 7 to 9 = n + x,5,1 ⋅ 10 (?),unknown,person,unknown,no,no,no,yes,no,maybe,maybe,_,_,South Halmahera-West New Guinea,_,decimal,Austronesian,no,Indonesia,Papua Province,numerals,1,_
Busang Kayan,busa1255,bfg,0.03494,115.401,decimal,decimal modified,subtraction for 9 ?; 11 to 19 = 10 + n; or 11 to 19 = n + 10,5,10,10 + 5 or 5 + 10,2 ⋅ 10,4 ⋅ 10,no,no,no,no,no,yes,no,_,_,Western Malayo-Polynesian,_,decimal,Austronesian,no,Indonesia,East Kalimantan,"barlowpacific, numerals",2,_
Busoa,buso1238,bup,-5.60524,122.622,decimal,decimal proper,11 to 19 = 10 + n,5,10 or 1 ⋅ 10,10 + 5,2 ⋅ 10,4 ⋅ 10,no,no,no,no,no,yes,no,_,_,Western Malayo-Polynesian,_,decimal,Austronesian,no,Indonesia,Southeast Sulawesi,"lexirumah, numerals",2,_
Butam,buta1242,_,-4.471696,152.245674,quinary,quinary,sequential number word formation for 4; 5 contains hand; 6 to 9 = 5 + n; alternative 5 base < Austronesian?,hand 1 (?),hand whole,unknown,person whole or man whole,unknown,no,no,no,yes,no,no,maybe,_,yes,Taulil-Butam,_,quinary,Papuan,no,Papua New Guinea,East New Britain,barlowpacific,1,_
Butbut Kalinga,butb1235,kyb,17.2239,121.091,decimal,decimal proper,11 to 19 = 10 + n,5,1 ⋅ 10,1 ⋅ 10 + 5,2 ⋅ 10,4 ⋅ 10,no,no,no,no,no,yes,no,_,_,Western Malayo-Polynesian,_,decimal,Austronesian,no,Philippines,Cordillera,numerals,1,_
Butuanon,butu1244,btw,8.87009,125.418,decimal,decimal proper,"10, 1000, 1000 distinct",5,1 ⋅ 10,borrowed from Spanish,10 ⋅ 2 (innovative?),borrowed from Spanish,no,no,no,no,no,yes,insufficient data,_,_,Western Malayo-Polynesian,_,decimal,Austronesian,no,Philippines,Caraga,"abvd, numerals",2,_
Bwaidoka,bwai1242,bwd,-9.51158,150.297,quinary,quinary,5 contains hand; 6 to 9 = 5 + n,hand side x,hand side 2,leg side side (?),leg side 2,unknown,no,no,no,yes,no,no,insufficient data,_,_,Oceanic,_,quinary,Austronesian,no,Papua New Guinea,Milne Bay,"abvd (2x), barlowpacific, numerals",4,bwai1243
Bwanabwana,bwan1241,tte,-10.6599,151.034,quinary,quinary,6 to 9 = 5 + n,5 (innovative?) (< digits?),1 ⋅ 10,1 ⋅ 10 + 5,man 1 they killed,unknown,no,no,no,yes,no,maybe,maybe,_,_,Oceanic,_,quinary,Austronesian,no,Papua New Guinea,Milne Bay,"abvd, barlowpacific, numerals",3,_
Bwatoo,bwat1240,bwa,-21.3777,165.076,quinary,quinary,6 to 9 = 5 + n,5,completed 2 hand,completed 2 hand + 5,completed 2 hand and completed 2 leg or 1 person,unknown,no,no,no,yes,no,no,maybe,_,_,Oceanic,_,quinary,Austronesian,no,New Caledonia,New Caledonia,"abvd, numerals",2,_
Bwenelang,bwen1239,_,-16.338946,167.660849,quinary,quinary,6 to 9 = x + n,5,1 ⋅ 10,unknown,unknown,unknown,no,no,no,yes,no,maybe,insufficient data,_,_,Oceanic,_,quinary,Austronesian,no,Vanuatu,Malakula,abvd,1,_
Caac,caac1237,msq,-20.4114,164.578,quinary,quinary,6 to 9 = x + n,5,10 (innovative?),unknown,1 person,unknown,no,no,no,yes,no,maybe,maybe,_,_,Oceanic,_,quinary,Austronesian,no,New Caledonia,New Caledonia,"abvd (2x), numerals",3,_
Cacgia Roglai,cacg1235,roc,11.6489,109.138,decimal,decimal modified,"subtraction for 8, 9; 11 to 19 = 10 + n",5,1 ⋅ 10,1 ⋅ 10 + 5,2 ⋅ 10,4 ⋅ 10,no,no,no,no,no,yes,no,_,_,Western Malayo-Polynesian,_,decimal,Austronesian,no,Vietnam,Vietnam,numerals,1,_
Calamian Tagbanwa,cala1258,tbk,12.0716,120.094,decimal,decimal proper,11 to 19 = 10 + n,5,1 ⋅ 10,1 ⋅ 10 + 5,2 ⋅ 10,4 ⋅ 10,no,no,no,no,no,yes,no,_,_,Western Malayo-Polynesian,_,decimal,Austronesian,no,Philippines,Mimaropa,"abvd, numerals",2,_
Caluyanun,calu1238,clu,12.0489,121.384,decimal,decimal proper,"10, 100, 1000 distinct (100 from Spanish)",5,10,borrowed from Spanish,borrowed from Spanish,borrowed from Spanish,no,no,no,no,no,yes,insufficient data,_,_,Western Malayo-Polynesian,_,decimal,Austronesian,no,Philippines,Western Visayas,"abvd, numerals",2,semi1263
Camarines Norte Agta,cama1250,abd,14.1571,122.835,decimal,decimal proper,"10, 100, 1000 distinct",5,1 ⋅ 10,unknown,borrowed from Spanish,unknown,no,no,no,no,no,yes,insufficient data,_,_,Western Malayo-Polynesian,_,decimal,Austronesian,no,Philippines,Bicol,abvd (2x),2,_
Campalagian,camp1262,cml,-4.016667,119.623611,decimal,decimal modified,"subtraction for 8, 9; 20 = 2 ⋅ 10",5,1 ⋅ 10,unknown,2 ⋅ 10,unknown,no,no,no,no,no,yes,insufficient data,_,_,Western Malayo-Polynesian,_,decimal,Austronesian,no,Indonesia,South Sulawesi,barlowpacific,1,_
Capiznon,capi1239,cps,11.4122,122.954,decimal,decimal proper,"1 through 10 < PAN; distinct 100, 1000",5,10,unknown,borrowed from Spanish,unknown,no,no,no,no,no,yes,insufficient data,_,_,Western Malayo-Polynesian,_,decimal,Austronesian,no,Philippines,Western Visayas,barlowpacific,1,_
Caribbean Javanese,cari1276,jvn,5.62695,-54.6305,decimal,decimal proper,11 to 19 = n + x,5,1 ⋅ 10,5 + x,2 ⋅ 10,4 ⋅ 10,no,no,no,no,no,yes,no,_,_,Western Malayo-Polynesian,Javanese variety?,decimal,Austronesian,no,Suriname,Suriname,barlowpacific,1,_
Carolinian,caro1242,cal,15.205,145.765,decimal,decimal proper,11 to 19 = 10 + n,5,"1 ⋅ 10 (innovative?) or 10 (innovative, < *20)",1 ⋅ 10 + 5,2 ⋅ 10,4 ⋅ 10,no,no,no,no,no,yes,no,_,_,Oceanic,_,quinary,Austronesian,no,Northern Mariana Islands,Northern Mariana Islands,"abvd (2x), numerals",3,_
Casiguran-Nagtipunan Agta,casi1235,dgc,16.2176,121.878,decimal,decimal proper,11 to 19 = 10 + n,5,1 ⋅ 10,1 ⋅ 10 + 5,2 ⋅ 10,4 ⋅ 10,no,no,no,no,no,yes,no,_,_,Western Malayo-Polynesian,_,decimal,Austronesian,no,Philippines,Central Luzon,"abvd, numerals",2,_
