ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Source
kena1250,Kenati,Papunesia,-6.74765,145.881,kena1250,gat,
kend1254,Kendayan-Belangin,Papunesia,1.47957,109.467,kend1254,knx,numerals
keni1248,Keninjal,Papunesia,-0.63184,111.808,keni1248,knl,barlowpacific;numerals
keni1249,Keningau Murut,Papunesia,5.42272,116.198,keni1249,kxi,barlowpacific
keoo1238,Kéo,Papunesia,-8.8704,121.256,keoo1238,xxk,lexirumah;numerals
keor1235,Keoru-Ahia,Papunesia,-7.63603,145.415,keor1235,xeu,barlowpacific
kepo1237,Kepo',Papunesia,-8.603241,120.775273,kepo1237,kuk,
kere1285,Kereho,Papunesia,0.64649,113.644,kere1285,xke,numerals
kere1286,Kerewo,Papunesia,-7.551,144.309,kere1286,kxz,barlowpacific;numerals
keri1250,Kerinci,Papunesia,-1.93668,101.403,keri1250,kvr,abvd;numerals
kesa1244,Kesawai,Papunesia,-5.76797,145.58,kesa1244,xes,barlowpacific;numerals
keta1243,Ketangalan,Papunesia,25.0257,121.425,keta1243,kae,barlowpacific
kete1254,Ketengban,Papunesia,-4.50417,140.443,kete1254,xte,numerals
ketu1238,Ketum,Papunesia,-5.34647,140.604,ketu1238,ktt,barlowpacific
keya1238,Keyagana,Papunesia,-6.47599,145.464,keya1238,kyg,barlowpacific;numerals
kheh1237,Khehek,Papunesia,-2.06626,146.746,kheh1237,tlx,abvd;barlowpacific
kibi1239,Kibiri,Papunesia,-7.45276,144.296,kibi1239,prm,barlowpacific
kili1267,Kilivila,Papunesia,-8.72574,151.072,kili1267,kij,abvd;barlowpacific;numerals
kilm1241,Kilmeri,Papunesia,-2.88607,141.191,kilm1241,kih,barlowpacific;numerals
kima1244,Kimaragang,Papunesia,6.61982,116.96,kima1244,kqr,numerals
kima1246,Kimaama,Papunesia,-8.01899,138.355,kima1246,kig,barlowpacific
kimk1238,Kimki,Papunesia,-4.2742,140.884,kimk1238,sbt,numerals
kina1250,Kinaray-a,Papunesia,10.8131,122.297,kina1250,krj,abvd;numerals
kina1251,Kinalakna,Papunesia,-6.05862,147.442,kina1251,kco,barlowpacific
kina1252,Kinabalian,Papunesia,10.2589,125.2217,kina1252,cbw,
kiok1239,Kioko,Papunesia,-4.99012,122.951,kiok1239,ues,abvd;lexirumah;numerals
kipu1237,Kiput,Papunesia,4.16535,114.367,kipu1237,kyi,numerals
kire1240,Kire,Papunesia,-4.25927,144.711,kire1240,geb,barlowpacific
kiri1256,Kirikiri,Papunesia,-3.18494,137.282,kiri1256,kiy,numerals
kisa1266,Kisar,Papunesia,-8.05122,127.18,kisa1266,kje,abvd;lexirumah;numerals
kiss1246,Kis,Papunesia,-3.83909,143.96,kiss1246,kis,abvd;barlowpacific;numerals
klia1235,Klias River Kadazan,Papunesia,5.39453,115.582,klia1235,kqt,
koba1240,Koba,Papunesia,-6.47901,134.61,koba1240,kpd,numerals
kobo1248,Kobol,Papunesia,-4.79614,145.284,kobo1248,kgu,barlowpacific
kobo1249,Kobon,Papunesia,-5.16446,144.46,kobo1249,kpw,barlowpacific;numerals
kode1237,Kodeoha,Papunesia,-3.39566,120.937,kode1237,vko,barlowpacific
kodi1247,Kodi,Papunesia,-9.6373,119.114,kodi1247,kod,abvd;lexirumah;numerals
kofe1239,Kofei,Papunesia,-2.414345,136.813619,kofe1239,kpi,numerals
kohi1250,Kohin,Papunesia,-1.43973,111.905,kohi1250,kkx,barlowpacific
koit1244,Koitabu,Papunesia,-9.36877,147.079,koit1244,kqi,barlowpacific
koiw1243,Koiwat,Papunesia,-4.03417,143.62,koiw1243,kxt,
koke1241,Kokenop Mandobo,Papunesia,-5.551923,140.598971,koke1241,,barlowpacific
koko1265,Kokoda,Papunesia,-2.12872,132.449,koko1265,xod,lexirumah;numerals
koko1269,Kokota,Papunesia,-8.16481,159.191,koko1269,kkk,abvd;numerals
kola1285,Kola,Papunesia,-5.48833,134.592,kola1285,kvv,abvd;numerals
koli1253,Kolibugan Subanon,Papunesia,7.77212,122.567,koli1253,skn,barlowpacific;numerals
kolo1267,Kolom,Papunesia,-5.57832,146.212,kolo1267,klm,barlowpacific
kolp1236,Kol (Papua New Guinea),Papunesia,-5.21042,151.583,kolp1236,kol,barlowpacific
kolu1245,Koluwawa,Papunesia,-9.42742,150.462,kolu1245,klx,abvd;numerals
komb1272,Kombio,Papunesia,-3.48467,142.694,komb1272,xbi,barlowpacific;numerals
komb1273,Komba,Papunesia,-6.16163,147.28,komb1273,kpf,barlowpacific;numerals
komb1274,Kombai,Papunesia,-5.54543,139.902,komb1274,tyn,barlowpacific;numerals
kome1238,Komering,Papunesia,-3.79215,105.107,kome1238,kge,abvd;numerals
komi1271,Kominimung,Papunesia,-4.68537,144.783,komi1271,xoi,barlowpacific
komo1261,Komodo,Papunesia,-8.64518,119.477,komo1261,kvh,barlowpacific;lexirumah
komp1237,Kompane,Papunesia,-5.64348,134.742,komp1237,kvp,numerals
komy1238,Komyandaret,Papunesia,-5.25453,140.213,komy1238,kzv,numerals
kona1242,Konai,Papunesia,-5.66011,142.069,kona1242,kxw,barlowpacific;numerals
kond1303,Yaben (Konda),Papunesia,-1.82635,132.06,kond1303,knd,barlowpacific;lexirumah;numerals
kone1241,Koneraw,Papunesia,-8.37424,138.0675,kone1241,kdw,numerals
kono1269,Konomala,Papunesia,-4.16184,152.87,kono1269,koa,barlowpacific
kopa1248,Kopar,Papunesia,-3.98259,144.466,kopa1248,xop,barlowpacific;numerals
kopk1238,Kopkaka,Papunesia,-4.91191,139.926,kopk1238,opk,barlowpacific;numerals
kora1294,Korafe-Yegha,Papunesia,-9.07,149.267,kora1294,kpr,barlowpacific
kora1296,Korak,Papunesia,-4.5998,145.514,kora1296,koz,barlowpacific
kora1298,Korapun-Bromley,Papunesia,-4.535733,139.680215,kora1298,,
koro1308,Koro-Olrat,Papunesia,-14.2943,167.467,koro1308,krf,abvd;numerals
koro1310,Koronadal Blaan,Papunesia,6.20529,125.007,koro1310,bpr,abvd
koro1311,Koroni,Papunesia,-2.6367,121.977,koro1311,xkq,abvd
koro1312,Korowai,Papunesia,-5.26952,140.047,koro1312,khe,barlowpacific;numerals
koro1313,Koromira,Papunesia,-6.39399,155.742,koro1313,kqj,barlowpacific
koru1245,Korupun-Sela,Papunesia,-4.53497,139.678,koru1245,kpq,numerals
kosa1249,Kosarek Yale,Papunesia,-4.06603,139.645,kosa1249,kkl,numerals
kosa1251,Kosadle,Papunesia,-3.78748,140.197,kosa1251,kiq,
kosr1238,Kosraean,Papunesia,5.31,162.98,kosr1238,kos,abvd;numerals
kota1275,Kota Bangun Kutai Malay,Papunesia,-0.27049,116.297,kota1275,mqg,barlowpacific
kota1279,Kota Marudu Talantang,Papunesia,6.48554,116.853,kota1279,grm,
kova1243,Kovai,Papunesia,-5.61712,147.862,kova1243,kqb,barlowpacific;numerals
kove1237,Kove,Papunesia,-5.58623,149.63,kove1237,kvc,abvd;barlowpacific;numerals
kowa1245,Kowaki,Papunesia,-4.63032,145.412,kowa1245,xow,barlowpacific
kowi1239,Kowiai,Papunesia,-4.21954,133.468,kowi1239,kwh,abvd;barlowpacific;numerals
kris1246,I'saka,Papunesia,-2.80084,141.303,kris1246,ksi,barlowpacific
kuan1248,Kuanua,Papunesia,-4.30986,152.114,kuan1248,ksd,abvd;barlowpacific;numerals
kube1244,Kulungtfu-Yuanggeng-Tobo,Papunesia,-6.42586,147.536,kube1244,kgf,barlowpacific;numerals
kubo1242,Kubo,Papunesia,-5.92584,142.183,kubo1242,jko,barlowpacific;numerals
kubu1239,Kubu,Papunesia,-2.42661,102.193,kubu1239,kvb,barlowpacific
kuii1253,Kui (Indonesia),Papunesia,-8.38204,124.791,kuii1253,kvd,lexirumah;numerals
kuij1237,Kuijau,Papunesia,5.47179,116.108,kuij1237,dkr,barlowpacific;numerals
kula1280,Kula (Indonesia),Papunesia,-8.2384,125.004,kula1280,tpg,lexirumah;numerals
kuli1254,Kulisusu,Papunesia,-4.58411,123.045,kuli1254,vkl,abvd;lexirumah;numerals
kulo1237,Pazeh-Kahabu,Papunesia,23.7562,120.976,kulo1237,pzh,abvd;numerals
kulo1238,Kulon,Papunesia,25.00238,121.32473,kulo1238,uon,
kuma1276,Nêlêmwa-Nixumwak,Papunesia,-20.4035,164.193,kuma1276,nee,abvd;numerals
kuma1278,Kumalu,Papunesia,-7.1135,146.57,kuma1278,ksl,numerals
kuma1280,Kuman,Papunesia,-5.90586,144.977,kuma1280,kue,barlowpacific;numerals
kumb1274,Kumbewaha,Papunesia,-5.34485,123.154,kumb1274,xks,abvd;lexirumah;numerals
kumu1247,Kumukio,Papunesia,-6.03128,147.411,kumu1247,kuo,barlowpacific
kuni1263,Kuni,Papunesia,-8.66368,146.874,kuni1263,kse,abvd;barlowpacific;numerals
kuni1265,Kuni-Boazi,Papunesia,-6.97504,141.365,kuni1265,kvg,barlowpacific;numerals
kuni1267,Kunimaipa,Papunesia,-8.09371,146.908,kuni1267,kup,barlowpacific;numerals
kunj1246,Kánchá,Papunesia,-8.92289,141.424,kunj1246,pep,barlowpacific
kuot1243,Kuot,Papunesia,-3.06952,151.537,kuot1243,kto,abvd;barlowpacific;numerals
kupa1239,Kupang Malay,Papunesia,-10.2526,123.63,kupa1239,mkn,barlowpacific;numerals
kuri1260,Nabi,Papunesia,-2.80683,134.098,kuri1260,nbn,barlowpacific;numerals
kurr1245,Kur,Papunesia,-5.34077,131.986,kurr1245,kuv,barlowpacific
kurt1250,Kurti,Papunesia,-2.01187,147.036,kurt1250,ktm,barlowpacific
kuru1305,Kurudu,Papunesia,-1.8444,137.018,kuru1305,kjr,numerals
kusa1251,Kusaghe-Njela,Papunesia,-8.04056,157.463,kusa1251,ksg,abvd;numerals
kwai1243,Kwaio,Papunesia,-8.93744,160.965,kwai1243,kwd,abvd;numerals
kwam1252,Kwamera,Papunesia,-19.5954,169.442,kwam1252,tnk,abvd;numerals
kwam1254,Kwamtim One,Papunesia,-3.44911,141.889,kwam1254,okk,
kwan1278,Kwanga,Papunesia,-3.74263,142.711,kwan1278,kwj,barlowpacific;numerals
kwar1239,Kwara'ae,Papunesia,-8.75779,160.804,kwar1239,kwf,abvd;numerals
kwat1244,Kwato,Papunesia,-5.53799,145.629,kwat1244,kop,barlowpacific
kwer1263,Kwerba Mamberamo,Papunesia,-2.56457,138.436,kwer1263,xwr,numerals
kwer1264,Kwerisa,Papunesia,-2.99145,138.135,kwer1264,kkb,barlowpacific
kwer1265,Kwer,Papunesia,-5.02008,140.012,kwer1265,kwr,barlowpacific
kwes1245,Kwesten,Papunesia,-2.03622,138.853,kwes1245,kwt,barlowpacific;numerals
kwin1242,Kwinsu,Papunesia,-2.3038,139.5137,kwin1242,kuc,
kwom1262,Kwoma,Papunesia,-4.08721,142.664,kwom1262,kmo,barlowpacific;numerals
kyak1244,Kyaka,Papunesia,-5.52462,144.119,kyak1244,kyc,barlowpacific
kyen1243,Kyenele,Papunesia,-4.66964,143.855,kyen1243,kql,barlowpacific
labe1239,Label,Papunesia,-4.46971,152.678,labe1239,lbb,abvd
labo1244,Ninde,Papunesia,-16.4291,167.442,labo1244,mwi,abvd;numerals
labu1248,Labu,Papunesia,-6.75,146.903,labu1248,lbu,barlowpacific;numerals
labu1249,Labuk-Kinabatangan Kadazan,Papunesia,5.51924,117.507,labu1249,dtb,barlowpacific
laek1243,Laeko-Libuat,Papunesia,-3.69618,142.237,laek1243,lkl,
lagh1246,Laghu,Papunesia,-8.00509,158.961,lagh1246,lgb,abvd
laha1251,Laha (Indonesia),Papunesia,-3.70755,128.073,laha1251,lhh,numerals
laha1253,Lahanan,Papunesia,2.72734,113.947,laha1253,lhn,abvd;barlowpacific;numerals
laiy1246,Laiyolo,Papunesia,-6.45512,120.483,laiy1246,lji,barlowpacific;lexirumah;numerals
laka1255,Lakalei,Papunesia,-8.86372,125.716,laka1255,lka,lexirumah;numerals
lako1245,Lakon,Papunesia,-14.29899,167.429382,lako1245,lkn,abvd;numerals
laku1238,Lakuramau,Papunesia,-2.883333,151.25,laku1238,lxm,numerals
lala1268,Lala,Papunesia,-8.93195,146.749,lala1268,nrz,abvd;barlowpacific;numerals
lama1277,Lamaholot,Papunesia,-8.36439,122.803,lama1277,slp,abvd;barlowpacific;lexirumah;numerals
lama1278,Peripheral Lembata,Papunesia,-8.53225,123.442,lama1278,lmr,abvd;barlowpacific;numerals
lama1279,Lamatuka,Papunesia,-8.39374,123.586,lama1279,lmq,
